reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
5c936e68-185c-44e1-b812-69a2ffad4bf5,Ferry Fee,https://play-lh.googleusercontent.com/a/AItbvmn9WXuEnGdpP0grsK_hkl6xg955rtcnxXx9IrrH=mo,"Hallo developer,kenapa ya aplikasinya minta di update mulu,baru 2 hari yg lalu saya update ke versi terbaru,hari ini minta update lg,saya ga mau update karena kejadian 2 hari yg lalu sehabis di update malah sertifikatnya hilang,ngurus lg nya ribet pula,hrs tlp call centre lah,hrs kirim email lah",4,1,4.0.91,2022-02-11 09:30:33,"Halo Ka,

Kami mohon maaf atas ketidaknyamanan Anda.
Kami akan terus berupaya memberikan informasi seakurat mungkin, serta senantiasa memperbaiki performansi aplikasi ini agar lebih mudah digunakan dan kami sangat menghargai kesabaran Anda dalam menunggu perbaikan yang dirilis selanjutnya.

Stay Healthy",2022-02-11 09:57:29
44221b3b-4bde-40df-9a93-a5976dd93440,Yesi Lidya,https://play-lh.googleusercontent.com/a-/AFdZucqJM95_HKcBHJcvnm9B5VGyUkYuub2RGlTPs3-ejw,"Kemana mana udah enak tinggal scan barcode, hanya saja pertama kali download kemudian ada prmbaruan sistem dari peduli lindungi, namun setelah diperbaharui sertivikat vaksin saya malah tidak bisa di download.sudah tebak gambar beberapa kali untuk verivikasi tapi gagal terus",4,0,4.1.1,2022-03-09 04:13:38,"Halo Yesi,
Mohon maaf atas ketidaknyamanannya.
Jika terkendala klaim sertifikat vaksin via aplikasi, sebagai alternatif Anda dapat melakukan klaim melalui website pedulilindungi.id. Pastikan Anda login menggunakan nomor HP yang Anda daftarkan ketika vaksinasi. Apabila masih terkendala kirimkan email ke sertifikat@pedulilindungi.id.
Terima kasih",2022-03-09 06:00:00
83a69424-3a87-4abe-8359-9a81f3f4b498,Simply Recipes,https://play-lh.googleusercontent.com/a/AItbvmlRXMTKxzPRCC9DFvhkidM-QrDuNSvy_D2yjtf8=mo,Pengisian info data diri terutama tgl lahir tdk efektif sekali. Knp tdk diketik manual sj. Terlalu lama menggeser ke tahun yg lampau. Mohon diperbaiki,1,0,4.0.91,2022-02-09 06:11:45,"Halo Ka,

Mohon maaf atas ketidaknyamanan Anda.
Pengisian tanggal lahir dapat dilakukan dengan mengetuk 'Tahun' lalu scroll untuk memilih tahun kelahiran Anda, 'Bulan', serta 'Tanggal' lalu simpan. Jika masih terkendala, sebagai alternatif Anda dapat mengisi data diri melalui website pedulilindungi.id.

Terima kasih.

Stay healthy",2022-02-09 09:13:53
2a7b0849-bcca-4a07-aba0-799884ec3bdf,Rizky Muhammad,https://play-lh.googleusercontent.com/a-/AFdZucpP2WWSfqwPOzCSmczCDWH7owUc_tRkMpAgQj6BBw,"Ni apk sudah saya update,tp tetap aja captcha nya bermasalah,disitu captcha sudah betul,tp pas saya klaim sertifikat malah salah,maunya gimana coba,terus barusan saya coba lg,captcha bermasalah lagi alasannya ""komputer atau jaringan anda mungkin mengirimkan kueri otomatis"".Terus saya harus gimana lagi?ngulang dr awal?ngulang menyetel tanggal lahir nya lagi?dengan menekan tombol dr tahun 2022 ke tahun 2002.Jadi yang kelen update tu gunanya apa???perbaiki bugs?tapi captcha masih bermasalah juga???",1,1,4.0.91,2022-02-08 09:08:25,"Halo,

Sebagai alternatif, Anda dapat melakukan klaim sertifikat vaksin via website pedulilindungi.id (login menggunakan nomor HP yang Anda daftarkan ketika vaksinasi) atau layanan Whatsapp resmi vaksinasi covid-19 Kemenkes di nomor telepon +6281110500567. Jika masih terkendala kirimkan email ke sertifikat@pedulilindungi.id.

Terima kasih",2022-02-09 09:38:42
c234ee2e-0968-4f4c-b62a-aa57722505c5,Yanz Irawan,https://play-lh.googleusercontent.com/a/AItbvmmM2w9jG-SdDW6mSpcboHejmLal_Qvf5S0Yy8ZI=mo,"Aplikasi ini semakin buruk saja,sertifikat vaksin 1 dan ke 2 menjadi terbalik udah begitu ada beberapa orang yang sertifkat vaksinnya hilang yg sebelumnya ada menjadi tidak ada/hilang .ngga tau apa karena faktor manusia atau sistemnya yang tidak bagus.seperti tidak niat membuat aplikasi ini.mohon diperbaiki.terima kasih.",1,1,4.0.91,2022-02-09 06:23:11,"Halo Ka,

Kami mohon maaf atas ketidaknyamanan Anda.
Kami sedang melakukan perbaikan secara menyeluruh untuk permasalahan ini. Sebagai alternatif, pengecekan dapat dilakukan melalui website pedulilindungi.id. Kami sangat menghargai kesabaran Anda dalam menunggu perbaikan yg dirilis selanjutnya.

Terima kasih.

Stay healthy",2022-02-09 08:32:01
7cd12a9e-090c-48e2-b1f7-0d273cac6ead,Budi Pml,https://play-lh.googleusercontent.com/a/AItbvmlzcG3bU-2c71koWWzKHlnYgU5k5IoSFB0Y3S8A=mo,"untuk saat ini sangat buruk apk nya.udah diupdate malah zonk.sertifikat 1/2 hilang semua.login lagi ga bisa,masa ngisi tgl lahir aja harus jalan mundur manual,emang ga bisa dibikin langsung ketik aja biar simpel kah...???saya yakin kalian otang2 yang amat sangat profesial sekali,jadi tolong bekerjalah dengan & hasil yang profesial juga.tolong jangan susahin rakyat dong",1,9,4.1.0,2022-02-11 12:20:30,"Halo Ka,

Mohon maaf atas ketidaknyamanannya.
Harap pastikan data profil Anda sudah terisi lengkap dan sesuai dengan identitas yang di daftarkan ketika vaksinasi. Setelahnya, klaim sertifikat vaksin Anda melalui menu 'Sertifikat Vaksin' atau melalui website pedulilindungi.id dengan login menggunakan akun Anda.

Terima kasih.

Stay healthy",2022-02-12 04:34:15
b6767cf5-e27e-48e8-9f7d-c1ca487ebc90,Ardy milanisty,https://play-lh.googleusercontent.com/a-/AFdZucrDiBU74J-ZuT1py__jFLPPcTGNWhN4AJqBLFkhsw,Pelayanan anda tidak jelas. Saya sudah melakukan vaksin 2x srtifikat K2 tidak muncul kenapa yang pertama bisa yang ke 2 tidak. Saya minta bantuan memlalui arahan dari applikasi. Tetap hasilnya nihil. Tolong di perbaiki lagi kalau pertama bisa harus nya ke2 otomatis bisa juga. Tapi kenapa tidak muncul. Arahan bantuan lewat aplikasi itu tidak jelas.,1,115,4.1.1,2022-02-26 22:56:02,"Halo Ardy,
Mohon maaf atas ketidaknyamanannya.
Pengecekan sertifikat dapat melalui https://www.pedulilindungi.id/, login dan pilih menu 'Cek Sertifikat di sini' (paling atas) atau hubungi layanan Whatsapp resmi vaksinasi covid-19 Kemenkes di nomor telepon +6281110500567.
Jika terkendala hubungi 119 ext. 9 atau email ke sertifikat@pedulilindungi.id.",2022-02-27 10:54:24
619a8f04-6d51-4940-9e9d-5807bc8c72b3,Shinta Rachmawati,https://play-lh.googleusercontent.com/a-/AFdZucoS-dztC4oBWXjBzEUc-hVdfkovhNMhZUMl7q2psA,"Setelah di update kenapa sertifikat vaksinnya malah hilang, udah coba di hapus trus install ulang tetap aja gak muncul sertifikat. Mohon segera di perbaiki.",1,0,4.0.91,2022-02-09 09:12:36,"Halo,

Mohon maaf atas ketidaknyamanannya.
Harap pastikan data profil Anda sudah terisi lengkap dan sesuai dengan identitas yang di daftarkan ketika vaksinasi. Setelahnya, klaim sertifikat vaksin Anda melalui menu 'Sertifikat Vaksin' atau melalui website pedulilindungi.id dengan login menggunakan akun Anda.

Terima kasih.

Stay healthy",2022-02-10 01:12:52
7becfef0-ec9b-43b6-87d9-34dd05de1b1a,Yeremia Amore,https://play-lh.googleusercontent.com/a-/AFdZucqQzjp6AhOE96frex2f62spbNrpWQYDKMmQkhb9Yg,"Saya sudah tes PCR di Lab yang terintegrasi dan hasilnya sudah keluar, namun belum sempat saya screenshot / ambil gambarnya, setelah saya kembali ke menu utama lalu kembali lagi ke hasil tes PCR hasilnya sudah hilang. Kalau memang niat bikin intergrasi hasil tes PCR lewat aplikasi Peduli Lindungi seharusnya dibuat permanen hasilnya / setidaknya ada batas waktunya berapa hari, masa baru dilihat 2 kali sudah hilang.",1,0,4.1.0,2022-02-21 23:50:07,"Halo,

Kami mohon maaf atas ketidaknyamanan Anda.
Kami akan terus berupaya memberikan informasi seakurat mungkin, serta senantiasa memperbaiki performansi aplikasi ini agar lebih mudah digunakan dan kami sangat menghargai kesabaran Anda dalam menunggu perbaikan yang dirilis selanjutnya.

Stay Healthy
",2022-02-22 08:14:08
8841e339-c355-44bb-91e1-01af0ae9fe5d,PT UUK,https://play-lh.googleusercontent.com/a-/AFdZucrAVULgwOLEKJA8cjA6Vy2o0SC1Z9BaRHTf07qQkQ,Saya harap. Aplikasi ini. Biar pribadi aja yg isi data vaksin type sinovac atau lainnya. Soalnya bisa pula data salah d input sama petugas. Akibatnya nambah buang waktu untuk mengubahnya. Zaman sudah online gini. Gak harusnya untuk mengubah gini waktu bisa berhari hari proses nya. Saya harap aplikasi lebih memperhatikan hal ini. Jika ada kesalahan input. Cukup bikin aja d aplikasi edit dan lampirkan Poto kertas waktu vaksin. Jadi data terupdate otomatis.,1,194,4.1.16,2022-03-11 03:38:20,"Halo,
Mohon maaf atas ketidaknyamanannya.
Pengecekan sertifikat dapat melalui https://www.pedulilindungi.id/, login dan pilih menu 'Cek Sertifikat di sini' (paling atas) atau hubungi layanan Whatsapp resmi vaksinasi covid-19 Kemenkes di nomor telepon +6281110500567.
Jika terkendala hubungi 119 ext. 9 atau email ke sertifikat@pedulilindungi.id.",2022-03-11 17:59:27
